state,town,college1990,male1990,black1990,hisp1990,income1990,logincome1990,subrf2000,gopvoteshare1992,gopvoteshare1996,gopvoteshare2000
Ak,Angoon,0.16352202,0.548989117,0,0.017054264,3.208299875,1.165741163,0,0.331460674,0.277777778,0.388888889
Ak,Barrow,0.182971969,0.527272701,0.006562054,0.021112695,5.668799877,1.734977433,0,0.470404984,0.494938133,0.637284701
Ak,Bethel,0.21875,0.522295713,0.007787834,0.017049043,4.223199844,1.440593098,101,0.410311493,0.402014652,0.488868275
Ak,Cordova,0.174649969,0.544465482,0.00138058,0.031293143,4.630400181,1.532643297,-1,0.5,0.510333863,0.646896552
Ak,Craig,0.165061891,0.534920633,0,0.030911902,4.724999905,1.552867541,0,0.374407583,0.613372093,0.746421268
Ak,Dillingham,0.213241622,0.502726793,0,0.01182266,4.408299923,1.48348911,0,0.462039046,0.433009709,0.550139276
Ak,Eielson,0.144550845,0.555322766,0.116010122,0.054391038,2.592400074,0.952584116,0,NA,0.77645187,0.836253776
Ak,Fairbanks,0.183360025,0.540154994,0.126057848,0.04840849,3.203299999,1.164181528,0,0.562527618,0.599411765,0.662771285
Ak,Galena,0.150793657,0.681141436,0.037128713,0.002475247,2.861099958,1.051206152,0,0.592920354,0.426356589,0.605
Ak,Gambell,0.038314175,0.574817538,0,0,1.593799949,0.46612107,0,0.681318681,0.258333333,0.537878788
Ak,Haines,0.166051656,0.518828452,0,0.024227235,3.854199886,1.349163433,0,0.517525773,0.673040153,0.708791209
Ak,Homer,0.260226279,0.510655761,0.002392344,0.029239766,3.665199995,1.298882903,0,0.509029345,0.573443983,0.647773279
Ak,Hoonah,0.112903222,0.497942388,0,0,3.644200087,1.293136886,0,0.426540284,0.412878788,0.56851312
Ak,Hooper Bay,0.067204304,0.505910158,0,0,1.8125,0.594707108,0,0.567901235,0.342245989,0.47752809
Ak,Juneau,0.307114333,0.506373584,0.010144075,0.024661865,4.792399883,1.567031305,0,0.355985776,0.393634841,0.435117967
Ak,King Cove,0.112956807,0.560175061,0,0.147001937,5.363100529,1.679542265,0,0.628865979,0.537634409,0.816513761
Ak,King Salmon,0.178260863,0.676900566,0.043909349,0.041076489,5.40719986,1.687731373,0,0.636986301,0.674603175,0.694610778
Ak,Kipnuk,0.023923445,0.562770545,0,0,0.499900013,-0.693347174,0,0.464285714,0.321100917,0.344262295
Ak,Kodiak,0.213389963,0.56579262,0.01137815,0.057703473,3.479166031,1.246792619,0,0.625420875,0.62962963,0.69829222
Ak,Kotzebue,0.162892625,0.508542359,0.002516175,0.011143062,4.236700058,1.443784678,0,0.496031746,0.479094077,0.56726094
Ak,Mountain,0.124113478,0.511331439,0.005649718,0.002824859,2.674999952,0.983949363,0,NA,0.54601227,0.608695652
Ak,Naknek,0.220630378,0.508474588,0,0,5.09070015,1.627415375,0,0.529032258,0.486111111,0.583333333
Ak,Nome,0.19064039,0.536000013,0,0.051232345,4.581200123,1.521960999,0,0.503836317,0.522285714,0.595517609
Ak,North Pole,0.167286247,0.532280207,0.031372551,0.052941177,3.29369998,1.192011547,0,0.719546742,0.723684211,0.799256506
Ak,Palmer,0.153612629,0.483600825,0.025259515,0.013840831,3.493999958,1.2510472,96.97150588,0.586410635,0.625668449,0.700652529
Ak,Port Lions,0.110169493,0.563106775,0,0,4.093800068,1.409473651,0,0.705882353,0.38028169,0.625
Ak,Quinhagak,0.08880309,0.522593319,0,0.003913894,1.75,0.559615788,-1,0.589147287,0.237762238,0.474074074
Ak,Ridgeway,0.149302706,0.526418805,0.002884615,0.017307693,4.896699429,1.588561392,102,0.710526316,0.735978112,0.811422414
Ak,Savoonga,0.058139537,0.503891051,0,0.001941748,1.133900046,0.125663059,0,0.489690722,0.284263959,0.255681818
Ak,Saxman,0.034146342,0.550000012,0,0.028277636,3.048099995,1.114518444,100,0.599431818,0.73100616,0.804526749
Ak,Seward,0.154016614,0.590218604,0.036118206,0.0204305,3.704900026,1.309656275,0,0.534804754,0.520440252,0.660944206
Ak,Sitka,0.214162678,0.523870528,0.004261691,0.017507486,4.33370018,1.466421722,37.89050281,0.642990654,0.488061798,0.568389058
Ak,Skagway,0.203285426,0.542440295,0,0.01058201,3.75,1.32175584,0,0.524390244,0.467680608,0.604651163
Ak,Soldotna,0.198484853,0.486689806,0,0.045040067,3.800400019,1.335106329,100,0.664169788,0.696153846,0.778911565
Ak,Tanana,0.115577891,0.578796566,0,0,1.700000048,0.530628279,0,0.273684211,0.244444444,0.337078652
Ak,Thorne Bay,0.158959538,0.542907178,0,0.013840831,3.968800068,1.378463799,0,0.731092437,0.808290155,0.901041667
Ak,Togiak,0.10631229,0.531353116,0.00330033,0,1.5,0.405465108,0,0.671232877,0.638157895,0.717105263
Ak,Toksook Bay,0.065476194,0.503703713,0,0,2.1875,0.782759339,0,0.45890411,0.25,0.369127517
Ak,Tununak,0.106060609,0.526666641,0,0,1.875,0.628608659,0,0.59047619,0.237623762,0.380434783
Ak,Unalakleet,0.15384616,0.563467503,0,0.006153846,3.453099966,1.239272368,0,0.532338308,0.536796537,0.610576923
Ak,Valdez,0.182524279,0.550564528,0.014754878,0.048548311,6.856999874,1.92527001,0,0.592668024,0.65337132,0.748324646
Ak,Wasilla,0.179760322,0.496772587,0,0.017909715,3.761899948,1.324924135,96.97150588,0.670071502,0.72244898,0.779792746
Ak,Whittier,0.103448279,0.608163238,0.003717472,0.104089223,3.363600016,1.213011834,0,0.488888889,0.695652174,0.75
Al,Autaugaville,0.059358288,0.473615646,0.637133539,0,1.351555943,0.30125648,0,0.283018868,0.267195767,0.305912596
Al,Bay Minette,0.089351282,0.483897895,0.188039392,0.007357823,1.487953782,0.397401875,0,0.414089347,0.696180556,0.672032828
Al,Elberta,0.143101245,0.503232956,0.025721455,0.006116688,2.444229841,0.89373008,0,0.743150685,0.716783217,0.744299674
Al,Fairhope,0.232263938,0.473802179,0.045118496,0.014371589,1.767179847,0.569384969,0,0.734693878,0.750277675,0.704099822
Al,Foley,0.116461478,0.486725092,0.130560189,0.014549416,1.805296063,0.590724602,0,0.631578947,0.651079137,0.707264185
Al,Loxley,0.066934407,0.485004276,0.004215851,0.023608768,0.92476356,-0.078217185,NA,0.752427184,0.737541528,0.786357786
Al,Robertsdale,0.079862736,0.513969243,0.050366748,0.004889976,1.219099164,0.198112196,0,0.736462094,0.71441048,0.765525982
Al,Spanish Fort,0.227103502,0.480171502,0.054637525,0.00533049,3.315799952,1.198698907,0,0.717948718,0.767964072,0.823935213
Al,Summerdale,0.119822487,0.473496646,0.119823791,0.011013215,1.449125648,0.370960373,0,0.666666667,0.719451372,0.82346723
Al,Clayton,0.096352749,0.481060594,0.666246057,0.000630915,1.13279283,0.124686115,0,0.414473684,0.266203704,0.381274131
Al,Clio,0.068217874,0.521347582,0.431091875,0.001997337,1.03029418,0.029844373,13.13815117,0.650485437,0.458244111,0.491039427
Al,Louisville,0.116448328,0.475208431,0.55872041,0.001314636,1.419402957,0.35023633,13.13815117,0.533783784,0.366028708,0.423076923
Al,Centreville,0.092889175,0.468500793,0.248215705,0.00555115,1.952499986,0.669110595,0,0.580919932,0.565499351,0.771822358
Al,Allgood,0.018939395,0.504149377,0,0.126789361,2.368099928,0.862087915,0,0.697674419,0.732193732,0.814713896
Al,Blountsville,0.063520871,0.473857462,0,0.008897485,1.572030902,0.452368352,0,0.548128342,0.501328609,0.621683093
Al,Cleveland,0.070259206,0.499128908,0,0.017233951,1.756565213,0.563360319,0,0.502717391,0.553822153,0.624242424
Al,Hayden,0.069494836,0.490298003,0.029416854,0.003633847,2.473195076,0.905510868,34.78189111,0.625748503,0.667334669,0.729050279
Al,Oneonta,0.10118866,0.477584809,0.039737772,0.004639435,1.365105867,0.311231984,0,0.623853211,0.592338479,0.639438085
Al,Mckenzie,0.101754382,0.491150439,0.230088502,0,1.608299971,0.475177702,0,0.522255193,0.468085106,0.571428571
Al,Anniston,0.153971419,0.470089108,0.302396178,0.012004297,1.283178806,0.249340442,0,0.507219743,0.199456029,0.318878668
Al,Hobson,0.063432835,0.402150542,0.983870983,0,1.278800011,0.245922147,0,0.043343653,0.033222591,0.039393939
Al,Jacksonville,0.259608239,0.477175653,0.122695319,0.006234249,1.430750728,0.358199291,0,NA,0.514459665,0.642384106
Al,Ohatchee,0.093631178,0.511922717,0.072096534,0.000603318,1.819897652,0.598780264,0,NA,0.537112011,0.599029126
Al,Oxford,0.113357402,0.479321688,0.064767472,0.003652301,2.806600094,1.03197382,0,0.684797768,0.654008439,0.672286184
Al,Piedmont,0.083162792,0.482788295,0.099017195,0.000737101,1.188875675,0.17300805,0,0.432035737,0.441133721,0.563019834
Al,Weaver,0.126104891,0.462453544,0.059971098,0.03648844,3.011899948,1.102571092,0,0.600907029,0.60370134,0.62729805
Al,Lanett,0.1103708,0.464140117,0.412991107,0,0.800578237,-0.222421017,20.78110874,0.452416918,0.391047297,0.410176125
Al,Cedar Bluff,0.08255659,0.459140688,0.196804032,0.001682086,2.026299953,0.706211447,0,0.386627907,0.413642961,0.523287671
Al,Clanton,0.092350982,0.474046975,0.139042437,0.000595289,1.176216364,0.162302815,0,NA,0.695575221,0.751495378
Al,Jemison,0.068167858,0.483154476,0.076712325,0.001992528,1.981182814,0.683694047,0,0.610465116,0.592377796,0.640636846
Al,Thorsby,0.063852817,0.477815688,0.014986376,0.008855586,2.478300095,0.907572879,0,0.691159587,0.667883212,0.72967265
Al,Butler,0.113153726,0.471850961,0.350070566,0.005444646,1.51604116,0.416102437,0,0.609756098,0.593879239,0.650506512
Al,Lisman,0.077777781,0.457346588,0.84013176,0.005067139,1.120479822,0.113757006,0,0.134048257,0.062111801,0.105882353
Al,Pennington,0.052631579,0.487878799,0.190909088,0,2.541699886,0.932833104,0,0.261728395,0.269021739,0.3
Al,Grove Hill,0.109908409,0.476682216,0.508928597,0.007275132,1.373693347,0.317502986,0,NA,0.621656051,0.634061135
Al,Jackson,0.096900746,0.473606706,0.476136625,0.003053608,1.116521239,0.110217815,0,0.410795974,0.599598394,0.594402488
Al,Thomasville,0.154092699,0.476955742,0.357814878,0.002276176,1.514653563,0.415186742,0,NA,0.537909836,0.511309116
Al,Lineville,0.084452406,0.477218211,0.207875282,0.0009994,1.187347412,0.171721754,0,NA,0.570957096,0.483449477
Al,Kinston,0.081372552,0.504377127,0.021548821,0,1.560730577,0.44515403,0,0.506493506,0.553191489,0.686507937
Al,Cherokee,0.047205832,0.497890294,0.119962513,0.000468604,1.530889511,0.425848946,0,NA,0.353383459,0.486394558
Al,Leighton,0.084958486,0.494698763,0.202819005,0,1.95773983,0.67179066,0,0.294832827,0.300591716,0.314020857
Al,Littleville,0.074965477,0.498445183,0.058573086,0.004257515,2.03233695,0.709186338,0,0.432384342,0.526515152,0.575709779
Al,Muscle Shoals,0.167009652,0.490687758,0.127114251,0.003528069,2.83310008,1.041371547,0,0.537449393,0.529325513,0.560526316
Al,Sheffield,0.135841474,0.463102132,0.23726207,0.006248798,2.013400078,0.699824874,0,0.509634888,0.568484848,0.46576087
Al,Goodwater,0.065295167,0.453804344,0.679891288,0,1.609099984,0.475675007,0,0.556737589,0.24039653,0.265868263
Al,Heath,0.100000001,0.468354434,0.118749999,0.0125,2.291699886,0.829293851,98.01783562,0.709803922,0.654166667,0.775384615
Al,Lockhart,0.039867111,0.420502096,0.338912129,0,1.316200018,0.274748811,0,0.486725664,0.37037037,0.510729614
Al,Red Level,0.098734178,0.45854485,0.071065992,0,1.558300018,0.443595495,98.01783562,0.464480874,0.528846154,0.671428571
Al,River Falls,0.038116593,0.482319653,0.404795498,0.002820875,1.325000048,0.281412495,98.01783562,0.435215947,0.423076923,0.492492492
Al,Sanford,0.062937066,0.484641641,0,0,1.479200006,0.391501405,98.01783562,0.566473988,0.67032967,0.743801653
Al,Brantley,0.083973654,0.463536114,0.210956961,0,1.26026392,0.231321159,0,0.467576792,0.469662921,0.581532417
Al,Dozier,0.063973062,0.446028501,0.464358449,0,0.869499981,-0.139836967,98.01783562,0.335714286,0.263157895,0.423913043
Al,Glenwood,0.137681156,0.40314135,0.167539269,0,1.230800033,0.207664391,0,0.574468085,0.556650246,0.643442623
Al,Rutledge,0.104089223,0.434367537,0.096470587,0.014117647,1.274999976,0.24294616,0,0.581395349,0.470383275,0.591836735
Al,Cullman,0.141025648,0.465291649,0.000848007,0.001446601,1.312382579,0.271844248,0,0.653053287,0.721559268,0.659552584
Al,Garden,0.03117506,0.492281318,0,0.005119454,1.708299994,0.535498721,0,0.607843137,0.586715867,0.720461095
Al,Good Hope,0.05452865,0.468235284,0.002346041,0.002932551,0.758786738,-0.276034519,83.23392868,0.600493218,0.585526316,0.679473106
Al,Hanceville,0.071223587,0.487006426,0.007749326,0.002021563,1.520932078,0.419323356,0,0.557815846,0.506681514,0.622280244
Al,Holly Pond,0.051990252,0.487232924,0,0.000520833,1.785519123,0.579709198,0,0.618895966,0.654403567,0.723461195
Al,Ariton,0.059210528,0.469496012,0.268229157,0.018229166,1.666700006,0.510845627,13.13815117,0.575645756,0.597535934,0.679775281
Al,Clayhatchee,0.096666664,0.495121956,0,0,2.203900099,0.790228563,29.85228002,0.525139665,0.657807309,0.725609756
Al,Daleville,0.171326473,0.502753615,0.178186655,0.025541702,1.621570826,0.483395325,NA,NA,0.618045113,0.627595445
Al,Grimes,0.052419353,0.473799139,0.386462867,0,2.166699886,0.77320522,29.85228002,0.673684211,0.661202186,0.709601874
Al,Level Plains,0.099421963,0.507128298,0.071908601,0.015456989,2.525899887,0.92659739,29.85228002,0.620338983,0.651408451,0.673819742
Al,Newton,0.061946902,0.488473535,0.128348917,0,1.141869903,0.132667184,29.85228002,0.572625698,0.633187773,0.735142119
Al,Ozark,0.124357104,0.482369393,0.205433011,0.014036093,1.471174717,0.386061209,0,NA,0.606590843,0.629123711
Al,Pinckard,0.096692115,0.468802691,0.219999999,0.011666667,2.138900042,0.760291698,29.85228002,0.606299213,0.678119349,0.742446043
Al,Collinsville,0.053621825,0.481969267,0.100000001,0.010031348,1.136614799,0.128054371,0,0.512820513,0.527472527,0.593023256
Al,Crossville,0.06115336,0.486613542,0,0.012512613,1.608270168,0.475159172,0,0.62254902,0.656140351,0.655027933
Al,Fyffe,0.055595152,0.48018539,0,0.003234003,1.407500505,0.34181544,0,0.508009153,0.576470588,0.613636364
Al,Geraldine,0.049016546,0.493985891,0,0.000414766,1.700472474,0.530906138,0,0.53129771,0.567032967,0.58250497
Al,Ider,0.041949414,0.493004918,0,0,1.927732229,0.656344301,0,0.498049415,0.664679583,0.651515152
Al,Powell,0.032894738,0.463999987,0,0.017105263,1.6875,0.523248144,0,NA,0.49689441,0.587467363
Al,Shiloh,0.059139784,0.470588237,0,0,1.363800764,0.310275481,0,0.483253589,0.47826087,0.525139665
Al,Sylvania,0.050570961,0.489406794,0,0.003177966,1.902799964,0.643326467,0,0.589655172,0.584645669,0.642857143
Al,Valley Head,0.098591551,0.486531973,0,0.01,2.234400034,0.803972751,0,0.420245399,0.423208191,0.528358209
Al,Coosada,0.068518519,0.473047316,0.430143028,0,2.812499762,1.034073683,0,NA,0.521126761,0.594268477
Al,Tallassee,0.090864442,0.422543794,0.24263142,0.002582802,1.417499661,0.348894518,0,0.68754717,0.664227642,0.729041916
Al,Atmore,0.09224806,0.461289048,0.378180385,0.004411186,1.067665339,0.065474338,0,0.081081081,0.058165548,0.042789223
Al,Brewton,0.103882633,0.485153317,0.264944077,0.007134593,1.329574108,0.284858671,0,0.610738255,0.49424626,0.514757379
Al,East Brewton,0.037443511,0.441001207,0.034851484,0.003168317,1.648699999,0.499987098,0,0.583941606,0.538690476,0.490410959
Al,Flomaton,0.043554772,0.471030653,0.100000001,0.016758243,1.230148077,0.20713455,0,NA,0.580128205,0.677295918
Al,Pollard,0.056338027,0.495049506,0.524752498,0,0.87379998,-0.134903786,0,0.612021858,0.604651163,0.668103448
Al,Altoona,0.042016808,0.487472773,0.010606472,0.001903726,1.536048532,0.42921323,0,0.466183575,0.552188552,0.593650794
Al,Attalla,0.080301993,0.47164309,0.15147981,0,2.01760006,0.701908716,0,0.238505747,0.183791606,0.370640714
Al,Reece,0.090047397,0.530864179,0,0,1.617550254,0.480912816,0,0.542944785,0.535971223,0.660377358
Al,Ridgeville,0.05982906,0.488505751,0.758620679,0,1.777799964,0.575376625,0,0.25,0.208695652,0.265306122
Al,Sardis,0.131611317,0.484922588,0,0,2.678600073,0.985294297,0,0.612565445,0.622605364,0.672782875
Al,Southside,0.141950369,0.503311276,0.002371397,0.008391098,3.545900106,1.265792036,0,0.598,0.644585039,0.692628205
Al,Walnut Grove,0.049886622,0.474930376,0,0,1.75,0.559615788,0,0.508264463,0.575892857,0.640264026
Al,Berry,0.029798422,0.493495703,0.038440265,0.001382743,1.136487246,0.127942142,0,0.450084602,0.471400394,0.586021505
Al,Fayette,0.117727585,0.462230206,0.207829982,0.012751678,1.373075843,0.317053364,0,NA,0.565152643,0.632117722
Al,Phil Campbell,0.05986014,0.486442506,0.001084599,0,1.347187877,0.298019366,0,0.407911001,0.411436541,0.527230591
Al,Red Bay,0.047702152,0.474095225,0.018652456,0.000761325,1.101226687,0.096424729,0,0.526352776,0.905775076,0.601160261
Al,Russellville,0.083754584,0.475684881,0.076085538,0.005737384,1.239882112,0.215016304,0,0.482863671,0.525700935,0.61351052
Al,Coffee Springs,0.131868139,0.459731549,0.080536909,0,2.083300114,0.73395323,0,0.487632509,0.566308244,0.657980456
Al,Geneva,0.070106559,0.467037916,0.132929444,0.010156807,0.947480381,-0.053949049,0,0.55164034,0.532193159,0.630872483
Al,Hartford,0.066031538,0.469242722,0.130579621,0.00266489,1.528324127,0.424171793,0,0.633431085,0.646475771,0.711328976
Al,Malvern,0.046195652,0.499165267,0.010016695,0,2.265599966,0.81783961,29.85228002,0.654618474,0.665198238,0.804140127
Al,Slocomb,0.060441058,0.49417457,0.086559139,0.002867383,1.33041954,0.285494336,0,0.639455782,0.599787686,0.642714571
Al,Boligee,0.141252011,0.446428567,0.810150385,0.00093985,0.735055149,-0.30780975,0,0.164948454,0.20212766,0.192
Al,Forkland,0.070559613,0.435307026,0.911184192,0,1.031299949,0.030820093,0,0.245614035,0.124802528,0.139020537
Al,Akron,0.053672317,0.458333343,0.736742437,0,0.940500021,-0.061343608,0,0.315789474,0.297376093,0.418952618
Al,Moundville,0.108405799,0.481194705,0.243830577,0.001104972,1.272983551,0.241363398,0,0.538095238,0.520048603,0.585365854
Al,Abbeville,0.085205719,0.480808467,0.463974804,0.002037414,1.343684435,0.295415419,0,0.812785388,0.478227655,0.50942029
Al,Headland,0.105213717,0.45958358,0.331702828,0.001528585,2.234899998,0.804196483,0,0.738028169,0.591772152,0.679286101
Al,Newville,0.084112152,0.460227281,0.575317621,0.041742288,2.156300068,0.768393821,0,0.677083333,0.363207547,0.456621005
Al,Cowarts,0.027713627,0.502928257,0.086988308,0.002923977,2.444999933,0.894045096,NA,0.679824561,0.659906396,0.758865248
Al,Gordon,0.025389025,0.479899496,0.376381904,0,1.771519303,0.571837542,0,0.21319797,0.215384615,0.186046512
Al,Kinsey,0.048066877,0.480047643,0.25589624,0.011792453,2.206600189,0.791452955,0,0.643956044,0.607317073,0.677419355
Al,Taylor,0.082614057,0.50511694,0.011644833,0.006550218,2.59058547,0.9518839,29.85228002,0.758104738,0.786635404,0.83967112
Al,Bridgeport,0.037921879,0.469193161,0.072616138,0,1.244648457,0.218853126,0,0.21474359,0.272391505,0.392006149
Al,Dutton,0.103448279,0.455882341,0,0.024509804,2.039099932,0.712508501,0,0.313609467,0.376344086,0.434139785
Al,Hollywood,0.01431127,0.481900454,0.188914031,0,1.8125,0.594707108,0,0.233898305,0.31884058,0.39553429
Al,Paint Rock,0.036135692,0.487406731,0.007455732,0.000931966,2.208259344,0.792204578,0,0.481012658,0.471830986,0.558139535
Al,Pisgah,0.087643109,0.48721227,0,0.009875918,1.871178746,0.626568578,0,0.277602524,0.331450094,0.422425033
Al,Scottsboro,0.131168246,0.476551771,0.053509917,0.006532842,2.07962513,0.732187651,0,0.398322851,0.476819657,0.523790642
Al,Section,0.065412693,0.478496581,0,0.004680468,0.990438282,-0.009607724,0,0.329861111,0.371549894,0.463746224
Al,Skyline,0.012072435,0.488341957,0,0.010256411,1.189195871,0.17327734,0,0.352549889,0.506289308,0.592105263
Al,Stevenson,0.042974271,0.503065348,0.100314029,0.004012561,1.412678957,0.345487871,0,0.289156627,0.291588785,0.380358535
Al,Millport,0.056152929,0.49396041,0.127408162,0.000513743,1.666203737,0.510547828,0,NA,0.415841584,0.532142857
Al,Vernon,0.068077512,0.463675916,0.089136951,0.004665112,1.308978081,0.269246742,0,NA,0.571084337,0.666234608
Al,Cloverdale,0.086397059,0.49630782,0.011659541,0,2.193500042,0.785498461,21.08355016,0.446268657,0.525,0.606741573
Al,Florence,0.216568127,0.461167514,0.144745961,0.004068235,1.23292625,0.209390409,0,0.520249221,0.509960159,0.49796748
Al,Killen,0.159937069,0.489794195,0.016414355,0.001956115,2.480263948,0.908364985,0,0.51217862,0.607165707,0.63479711
Al,Lexington,0.059205778,0.482961208,0,0.001173709,2.183404207,0.780885222,0,0.420529801,0.447494033,0.544276458
Al,Saint Florian,0.155303031,0.511312246,0,0,4.013899803,1.389763288,0,0.489534884,0.592909535,0.655670103
Al,Courtland,0.04606526,0.454425365,0.223249674,0,1.700000048,0.530628279,0,0.370491803,0.2296875,0.214382632
Al,Hillsboro,0.111196913,0.503951669,0.582054853,0,2.053549528,0.719569773,0,NA,0.26007326,0.242506812
Al,Moulton,0.106755257,0.48271355,0.097617663,0,1.344204307,0.295802244,0,0.399224806,0.476775956,0.589371981
Al,Ardmore,0.067055397,0.456880748,0.018165303,0.009990918,1.805600047,0.590892973,0,0.479899497,0.50982962,0.590648855
Al,Athens,0.140762359,0.499524564,0.129089266,0.003167967,2.03411746,0.710062044,0,0.6375,0.626406157,0.669301713
Al,Elkmont,0.115523465,0.517499983,0.142499998,0,2,0.693147181,0,0.507913669,0.595800525,0.650759219
Al,Hayneville,0.107933581,0.482835621,0.585542858,0,1.615482569,0.479633716,0,0.272727273,0.239388795,0.248713551
Al,Notasulga,0.121099949,0.474820137,0.501143396,0.000980072,1.282366753,0.248707396,0,0.426127527,0.394039735,0.461876833
Al,Gurley,0.131288767,0.484378517,0.139674768,0.008910671,2.392094612,0.872169389,0,0.391447368,0.5,0.52173913
Al,Huntsville,0.329786569,0.487688422,0.235479534,0.011591517,1.191202402,0.174963219,NA,0.556677524,0.531914894,0.542024654
Al,Madison,0.470826209,0.509378314,0.080067545,0.014266581,1.216635108,0.19608894,22.24498391,0.701902089,0.604276021,0.687764544
Al,Meridianville,0.203617275,0.515072584,0.082474224,0.010677467,3.978499889,1.380904836,0,0.606677985,0.607476636,0.625824367
Al,New Hope,0.061277397,0.493207783,0,0.002618204,1.814471841,0.595794429,0,0.444892473,0.427643785,0.501135503
Al,New Market,0.118249737,0.498985529,0.087650478,0.000946842,2.455565929,0.898357256,0,0.531100478,0.532081377,0.628808864
Al,Demopolis,0.146246344,0.47210601,0.475393504,0,1.143696547,0.134265601,10.20464227,0.379716981,0.236654804,0.42562592
Al,Sweet Water,0.049863387,0.465387821,0.439135849,0.003739094,1.050058842,0.048846202,0,0.480225989,0.406779661,0.462921348
Al,Bear Creek,0.014456982,0.495219469,0,0,1.42478478,0.35402077,0,NA,0.512408759,0.6242497
Al,Brilliant,0.038572252,0.494248301,0,0,1.407867789,0.342076354,0,0.257016248,0.27833002,0.455197133
Al,Guin,0.073891625,0.477286875,0.091417909,0.001243781,1.037982345,0.037278776,0,0.545985401,0.540780142,0.643196203
Al,Hackleburg,0.04249448,0.483928561,0,0.004267425,1.096859217,0.092450838,0,NA,0.495974235,0.596752368
Al,Hamilton,0.085276373,0.501818597,0.033006933,0.00176037,1.229738832,0.206801815,0,0.541256367,0.524825446,0.632756867
Al,Winfield,0.116127118,0.463877589,0.0337057,0.005585516,1.487242341,0.396923627,0,0.454187746,0.483131763,0.599123768
Al,Boaz,0.096527778,0.428526312,0.003291536,0.009404388,1.68719995,0.523070321,0,0.562211982,0.570531401,0.633460076
Al,Grant,0.140992165,0.452188015,0,0.019261638,2.25,0.810930216,0,0.406542056,0.491349481,0.572289157
Al,Guntersville,0.147807464,0.475994051,0.065204896,0.004516712,1.241704822,0.216485291,0,NA,0.564046895,0.587659895
Al,Creola,0.033333335,0.491561174,0.119410835,0.002630195,2.354799986,0.856455792,0,0.564567769,0.555555556,0.636700649
Al,Grand Bay,0.068953358,0.492015868,0.151023507,0.006368461,2.024176359,0.705162882,0,0.723717623,0.71577381,0.74500204
Al,Prichard,0.051456518,0.455626488,0.79311949,0.001775424,1.157600045,0.146348935,0,0.067027477,0.041743401,0.043051771
Al,Beatrice,0.114965312,0.483652055,0.752310514,0.001232286,1.131450057,0.123500046,0,0.271604938,0.194103194,0.205741627
Al,Excel,0.091168091,0.493007004,0.005226481,0.003484321,2.213500023,0.794574984,0,NA,0.813559322,0.871794872
Al,Frisco,0.067316212,0.46996969,0.148830622,0.005846917,1.788447857,0.581348125,0,0.612068966,0.551088777,0.58
Al,Monroeville,0.166050479,0.481795669,0.407739222,0,1.460469007,0.378757622,0,0.023584906,0.638443936,0.447937132
Al,Aliceville,0.049858,0.426807761,0.619635522,0,0.862950981,-0.147397391,0,0.377777778,0.326887087,0.313160987
Al,Carrollton,0.084495142,0.480883807,0.561569035,0,1.224472284,0.202509963,0,0.450980392,0.672727273,0.503676471
Al,Gordo,0.097360916,0.482344806,0.215306595,0.001152605,1.548165083,0.437070412,0,0.577292576,0.538669065,0.61752988
Al,Pickensville,0,0.360248446,0.677018642,0,1.75,0.559615788,0,0.276150628,0.304195804,0.340764331
Al,Reform,0.06058282,0.459846795,0.290195107,0.000987898,1.32615757,0.282285716,0,0.512953368,0.46875,0.530165913
Al,Troy,0.198664859,0.461455703,0.337492913,0.0042226,0.729049981,-0.316012989,0,0.465116279,0.591240876,0.613477432
Al,Wadley,0.15962036,0.479683965,0.215254232,0.001129944,1.010973573,0.0109138,0,NA,0.548172757,0.641618497
Al,Hurtsboro,0.060066007,0.471764714,0.787665904,0.004683841,1.29366982,0.257483001,0,0.304794521,0.208955224,0.214979196
Al,Margaret,0.01529052,0.493975908,0.268502593,0,2.092099905,0.738168301,100,0.52228164,0.513779528,0.60456942
Al,Ragland,0.054560598,0.502900839,0.093519494,0.002107481,1.348690748,0.299134306,0,0.454225352,0.490752158,0.553078556
Al,Riverside,0.071651094,0.489695787,0.208047107,0,2.655200005,0.976519983,0,0.626373626,0.588362069,0.658093797
Al,Steele,0.087769784,0.476722538,0,0.00744879,2.385900021,0.86957642,14.61101919,0.611599297,0.664835165,0.718213058
Al,Alabaster,0.243788302,0.486967146,0.108970903,0.008485992,3.908274651,1.363096011,0,0.7957993,0.793090357,0.805928017
Al,Harpersville,0.025,0.481481493,0.34074074,0,2.051100016,0.718376242,0,0.498002663,0.492791612,0.539812646
Al,Montevallo,0.172727272,0.447231948,0.211994261,0.007541297,1.434229255,0.3606276,0,0.5145,0.511379801,0.447148818
Al,Vincent,0.062478662,0.487411231,0.218166202,0.002147305,1.404225707,0.339486053,0,0.789934973,0.547486034,0.583333333
Al,Wilsonville,0.102506965,0.493534476,0.045258619,0.002873563,2.076048374,0.730466267,0,0.624349636,0.713444553,0.737373737
Al,Bon Air,0.141025648,0.509259284,0.074074075,0,2.650000095,0.974559676,0,NA,0.601503759,0.585365854
Al,Lincoln,0.107635207,0.476756752,0.356756747,0,1.108164191,0.102704764,0,NA,0.5225,0.568029286
Al,Munford,0.062537223,0.486747414,0.212020904,0.007491289,2.253299952,0.812395787,0,NA,0.541176471,0.60111465
